Package,Source,MD5sum,SHA256,Binary,Version,Maintainer,Build-Depends,Directory
firmware-b43-installer,b43-fwcutter,e820f3f53b635c290fb6569f580871cc,fa2662276289e51987a16fc9ab0dcd8bcc2afca45c5f9c842b6d5642897566a5,"b43-fwcutter, firmware-b43-installer, firmware-b43legacy-installer",1:019-8,Debian QA Group <packages@qa.debian.org>,"debhelper-compat (= 13), debconf, po-debconf",pool/contrib/b/b43-fwcutter
firmware-b43legacy-installer,b43-fwcutter,819e7d9b358fbe3acbd3f985787fb54f,60c7801b9194c1cf5ee2e6031a1b0e7fc39a9e3d9dfd0b1bbeb060ae71a58bbf,"b43-fwcutter, firmware-b43-installer, firmware-b43legacy-installer",1:019-8,Debian QA Group <packages@qa.debian.org>,"debhelper-compat (= 13), debconf, po-debconf",pool/contrib/b/b43-fwcutter
bcbio,bcbio,c7a7d33c9a475623c9aaac656e89ed53,b9ba11eac0b246af0bf19720af2f000910c02974bb69f5dc106e7cee9f6c070c,"python3-bcbio, bcbio",1.2.9-2,Debian Med Packaging Team <debian-med-packaging@lists.alioth.debian.org>,"debhelper-compat (= 13), dh-python, python3-all, python3-setuptools, python3-gffutils, python3-mock, python3-pandas, python3-pybedtools, python3-pysam, python3-pyvcf, python3-toolz, python3-tornado, python3-yaml, python3-scipy, python3-psutil, python3-joblib, atropos <!nocheck>, bcftools <!nocheck>, bedtools <!nocheck>, biobambam2 <!nocheck>, bowtie2 <!nocheck>, bwa <!nocheck>, cnvkit <!nocheck>, fastqc <!nocheck>, freebayes <!nocheck>, gffread <!nocheck>, grabix <!nocheck>, gsort <!nocheck>, hisat2 <!nocheck>, hts-nim-tools <!nocheck>, libfreetype6 <!nocheck>, lumpy-sv <!nocheck>, mosdepth <!nocheck>, multiqc <!nocheck>, perl <!nocheck>, libpicard-java <!nocheck>, libvcflib-tools <!nocheck>, picard-tools <!nocheck>, python3-biopython <!nocheck>, python3-cyvcf2 <!nocheck>, python3-geneimpacts <!nocheck>, python3-logbook <!nocheck>, python3-nose <!nocheck>, python3-requests <!nocheck>, python3-pytest <!nocheck>, python3-pytest-mock <!nocheck>, python3-seqcluster <!nocheck>, pythonpy <!nocheck>, rapmap <!nocheck>, rna-star <!nocheck>, r-base-core <!nocheck>, r-bioc-htsfilter <!nocheck>, r-bioc-degreport <!nocheck>, r-bioc-purecn <!nocheck>, r-bioc-summarizedexperiment <!nocheck>, r-cran-tidyverse <!nocheck>, r-bioc-titancna <!nocheck>, r-bioc-tximport <!nocheck>, r-other-wasabi <!nocheck>, salmon <!nocheck>, samblaster <!nocheck>, samtools <!nocheck>, seqan-apps <!nocheck>, seqtk <!nocheck>, snpeff <!nocheck>, subread <!nocheck>, tabix <!nocheck>, tophat-recondition <!nocheck>, umis <!nocheck>, vcfanno <!nocheck>, vt <!nocheck>, wham-align <!nocheck>, xonsh <!nocheck>, libhts-dev <!nocheck>, python3-sphinx",pool/contrib/b/bcbio
python3-bcbio,bcbio,05c334d996f8f6be6c281642c453ea2d,e15c19baae6e28a29e4b12bfbddadb6739609e59bdafcfa1701a88cb04404b43,"python3-bcbio, bcbio",1.2.9-2,Debian Med Packaging Team <debian-med-packaging@lists.alioth.debian.org>,"debhelper-compat (= 13), dh-python, python3-all, python3-setuptools, python3-gffutils, python3-mock, python3-pandas, python3-pybedtools, python3-pysam, python3-pyvcf, python3-toolz, python3-tornado, python3-yaml, python3-scipy, python3-psutil, python3-joblib, atropos <!nocheck>, bcftools <!nocheck>, bedtools <!nocheck>, biobambam2 <!nocheck>, bowtie2 <!nocheck>, bwa <!nocheck>, cnvkit <!nocheck>, fastqc <!nocheck>, freebayes <!nocheck>, gffread <!nocheck>, grabix <!nocheck>, gsort <!nocheck>, hisat2 <!nocheck>, hts-nim-tools <!nocheck>, libfreetype6 <!nocheck>, lumpy-sv <!nocheck>, mosdepth <!nocheck>, multiqc <!nocheck>, perl <!nocheck>, libpicard-java <!nocheck>, libvcflib-tools <!nocheck>, picard-tools <!nocheck>, python3-biopython <!nocheck>, python3-cyvcf2 <!nocheck>, python3-geneimpacts <!nocheck>, python3-logbook <!nocheck>, python3-nose <!nocheck>, python3-requests <!nocheck>, python3-pytest <!nocheck>, python3-pytest-mock <!nocheck>, python3-seqcluster <!nocheck>, pythonpy <!nocheck>, rapmap <!nocheck>, rna-star <!nocheck>, r-base-core <!nocheck>, r-bioc-htsfilter <!nocheck>, r-bioc-degreport <!nocheck>, r-bioc-purecn <!nocheck>, r-bioc-summarizedexperiment <!nocheck>, r-cran-tidyverse <!nocheck>, r-bioc-titancna <!nocheck>, r-bioc-tximport <!nocheck>, r-other-wasabi <!nocheck>, salmon <!nocheck>, samblaster <!nocheck>, samtools <!nocheck>, seqan-apps <!nocheck>, seqtk <!nocheck>, snpeff <!nocheck>, subread <!nocheck>, tabix <!nocheck>, tophat-recondition <!nocheck>, umis <!nocheck>, vcfanno <!nocheck>, vt <!nocheck>, wham-align <!nocheck>, xonsh <!nocheck>, libhts-dev <!nocheck>, python3-sphinx",pool/contrib/b/bcbio
bgoffice-dict-downloader,bgoffice-dict-downloader,92d10a4b89a4e43cc718767e43008b74,138cfca71433b1f2320ec89aee4b54b1cfeab85dc19544179c22bfd064130270,bgoffice-dict-downloader,0.10,Damyan Ivanov <dmn@debian.org>,debhelper (>= 10~),pool/contrib/b/bgoffice-dict-downloader
cl-umlisp,cl-umlisp,440c2db227559f5f50654da236afa695,2a48a78b7fd3e11e251429f056f5628209645e35691c0fa65ed317853e19f50c,cl-umlisp,1:2007ac.2-6.1,Kevin M. Rosenberg <kmr@debian.org>,debhelper (>= 7.0.0),pool/contrib/c/cl-umlisp
cl-umlisp-orf,cl-umlisp-orf,2f4c498edc8c53b4fb0e812d49036ac8,0201580582218fe394d6d01c3b0922e1a8e4be7f4fc83240e23a466a3a73bfe8,cl-umlisp-orf,3.3.2-3.1,Kevin M. Rosenberg <kmr@debian.org>,debhelper (>= 7.0.0),pool/contrib/c/cl-umlisp-orf
cltl,cltl,30f10b82c580d10b7e8dcef65dacd916,2fa2a508cbd1fa0ae80f3632f6b3c6489661da4ff404374e355a8d875b55a4b2,cltl,1.0.32,Debian Common Lisp Team <debian-common-lisp@lists.debian.org>,"debhelper-compat (= 13), po-debconf",pool/contrib/c/cltl
corsix-th-data,corsix-th,ecd766aa3f1ba88d13a0d4e2a4388008,4add05d4d43b2d93780300172d0a793cc1d511aab5bfe2ea235feffda7073dc4,"corsix-th, corsix-th-data",0.66-2,Debian Games Team <pkg-games-devel@lists.alioth.debian.org>,"cmake, debhelper-compat (= 13), imagemagick, libavcodec-dev, libavformat-dev, libfreetype-dev, liblua5.4-dev, libsdl2-dev, libsdl2-mixer-dev, libswresample-dev, libswscale-dev, lua-busted, lua5.4",pool/contrib/c/corsix-th
crafty-bitmaps,crafty-bitmaps,f4f9706e7dd7a54ba27cbb1e4294bc40,7e62cdfcbf18126df12f395c3997b24ce00d9d0a1082b6305e8371f3e3b1dbcc,crafty-bitmaps,1.0-2,Debian QA Group <packages@qa.debian.org>,"imagemagick, debhelper (>= 7.0.50~)",pool/contrib/c/crafty-bitmaps
crafty-books-medium,crafty-books-medium,7da0c8a765d8da1b5c072ca1c4d50958,07f2627ff7f290d0ee94db177d766326a53224f26357fba7d1486bf8220b7194,crafty-books-medium,1.0.debian1-3,Debian QA Group <packages@qa.debian.org>,"crafty (>= 23.1), debhelper (>= 7)",pool/contrib/c/crafty-books-medium
crafty-books-medtosmall,crafty-books-medtosmall,45403a465e25bbef55b843b7d491f1e9,3b7172e99548d2b1b1c05fca1eebf98cb5b88ea3bfccb12e0d50edd87c2119f3,crafty-books-medtosmall,1.0.debian1-3,Debian QA Group <packages@qa.debian.org>,"crafty (>= 23.1), debhelper (>= 7)",pool/contrib/c/crafty-books-medtosmall
crafty-books-small,crafty-books-small,1beefdc5b5901273ebbd626d16df8e5f,2d0f6cdbfbed74a935d5b7061bbb0a9e84e406bc08eb9728c3c69ef1a64b64ce,crafty-books-small,1.0.debian1-3,Debian QA Group <packages@qa.debian.org>,"crafty (>= 23.1), debhelper (>= 7)",pool/contrib/c/crafty-books-small
cytadela-data,cytadela,8afde64c1e776f3a21e68e43f074f417,14d9f23cd388c62b3975b03cbb4c3ccdb975e92ff65fe510f58c01f952fce949,"cytadela, cytadela-dbg, cytadela-data",1.1.0-4,Debian Games Team <pkg-games-devel@lists.alioth.debian.org>,"debhelper (>= 9), libsdl1.2-dev, libsdl-mixer1.2-dev, mesa-common-dev, libglu1-mesa-dev, libvlc-dev (>= 2.0)",pool/contrib/c/cytadela
dbab,dbab,79c2b7765ee268120bfa2dea14194355,015a716a4cacec66879027da832d84d02fc73dc7368df7db86f5b0dd385ffac5,dbab,1.5.8-1,Tong Sun <suntong001@users.sourceforge.net>,"debhelper-compat (= 13), ronn",pool/contrib/d/dbab
python3-doris,doris,8b46552bebfe6edfcf65fde07f258c2e,5b130073d12090ce278e3be2b7aa653db1c08eeaabb0668a96f0c082be526507,"doris, python3-doris",5.0.3~beta+dfsg-16,Debian GIS Project <pkg-grass-devel@lists.alioth.debian.org>,"debhelper-compat (= 12), dh-python, tcsh | c-shell, libepr-api-dev, libfftw3-dev, liblapack-dev, libtriangle-dev, python3-all, python3-fastkml, python3-fiona, python3-gdal, python3-lxml, python3-numpy, python3-requests, python3-scipy, python3-setuptools, python3-shapely",pool/contrib/d/doris
esix,esix,d09c20ced4195672fd3b0add32ceee67,05c3e65210f79ffc7103cf7bc7ffaed1c782af4405e962103ce1b16a34d3eedb,esix,1-3,Debian QA Group <packages@qa.debian.org>,debhelper (>= 9),pool/contrib/e/esix
festvox-don,festvox-don,9419a132f4242b25be585d37b158d440,bfb9e9ba2171fb522f573e176e8ce37660c3c1d4296d7364d902fbc860dc5d7f,festvox-don,1.4.0-5,Debian TTS team <tts-project@lists.alioth.debian.org>,,pool/contrib/f/festvox-don
festvox-en1,festvox-mbrola,9c2416e0088d8c7c35f402d1e76fd3fd,608a398a63b7b750718b8760ce7ef9498daa7bd620004c3e45ad8dac600291ed,"festvox-en1, festvox-us1, festvox-us2, festvox-us3",1.95-4,Debian Accessibility Team <pkg-a11y-devel@alioth-lists.debian.net>,debhelper-compat (= 12),pool/contrib/f/festvox-mbrola
festvox-us1,festvox-mbrola,e5ec05f722bee11cf92525725abea7e2,2038cda251ce3fa559e4e1748af36726efa9e134b7cd55344f44a1c176903ec2,"festvox-en1, festvox-us1, festvox-us2, festvox-us3",1.95-4,Debian Accessibility Team <pkg-a11y-devel@alioth-lists.debian.net>,debhelper-compat (= 12),pool/contrib/f/festvox-mbrola
festvox-us2,festvox-mbrola,03d9baf4a69da2bb3cf211f7449fb02e,de7b5b279ce0d643f7f037c6075832c57afc25e0b89a6f9ec819b60eb2825055,"festvox-en1, festvox-us1, festvox-us2, festvox-us3",1.95-4,Debian Accessibility Team <pkg-a11y-devel@alioth-lists.debian.net>,debhelper-compat (= 12),pool/contrib/f/festvox-mbrola
festvox-us3,festvox-mbrola,c4b81720fc1fc7611d8c3d860fd5fe21,dd6f4e5bb054aaaef67320a6e550aa232eb0fa7727e7ea2b9d4bc01662b835ba,"festvox-en1, festvox-us1, festvox-us2, festvox-us3",1.95-4,Debian Accessibility Team <pkg-a11y-devel@alioth-lists.debian.net>,debhelper-compat (= 12),pool/contrib/f/festvox-mbrola
festvox-rablpc16k,festvox-rablpc16k,8b725942c72d895eadc218c368e2b243,d2ed662717a9eb346fdf087d5d6816dce39755cd3a0b396608a67b56e78c8ca6,festvox-rablpc16k,2.4-1,Debian TTS team <tts-project@lists.alioth.debian.org>,,pool/contrib/f/festvox-rablpc16k
festvox-rablpc8k,festvox-rablpc8k,b40d68429589a06a4f683eb544b92186,001df53e5c6a2cc1781a54cbbc38755c5e29a6a9100fbb4aaf8d87622bffe042,festvox-rablpc8k,1.4.0-3,Debian TTS team <tts-project@lists.alioth.debian.org>,,pool/contrib/f/festvox-rablpc8k
fheroes2-pkg,fheroes2-pkg,f4508397ea5d5e6a2e170e34d9ba5df6,3e32cd407b4a43ed3180d481b041cf35c5d0fd7e1c995401215d786566cf8e64,fheroes2-pkg,0+svn20150122r3274-2-2,Dmitry Smirnov <onlyjob@debian.org>,debhelper (>= 9),pool/contrib/f/fheroes2-pkg
fonts-ibm-plex,fonts-ibm-plex,c047e907d3f395e2de6b70881327877b,682528a0832d8c5c3a92c64434c99fcceb1d2836ce7cf3cced902dcd86a188b2,fonts-ibm-plex,6.1.1-1,Debian Fonts Task Force <debian-fonts@lists.debian.org>,debhelper-compat (= 13),pool/contrib/f/fonts-ibm-plex
game-data-packager,game-data-packager,a1178dc3341d836241a0df16a020d828,fd89b635641425d076008c63c33d2b6bb4a0adb0ce31ea83cfa54082037daea2,"game-data-packager, etqw, etqw-server, game-data-packager-runtime, quake, quake-server, quake2, quake2-server, quake3, quake3-server, quake4, quake4-server",73,Debian Games Team <pkg-games-devel@lists.alioth.debian.org>,"bash-completion, dbus-daemon, debhelper-compat (= 13), dh-apparmor, dh-sequence-cruft, dh-sequence-python3, imagemagick, inkscape (>= 1.0~), meson (>= 0.56.0), pyflakes3, python3:any, python3-debian, python3-yaml:any, xmlstarlet, zip",pool/contrib/g/game-data-packager
game-data-packager-runtime,game-data-packager,8623693468019d3f7d698cfa35ce091c,063776be6e81a4360e8de8d12cab87493a0e87d2dbf8cdab1028ec6d8e6bbb5d,"game-data-packager, etqw, etqw-server, game-data-packager-runtime, quake, quake-server, quake2, quake2-server, quake3, quake3-server, quake4, quake4-server",73,Debian Games Team <pkg-games-devel@lists.alioth.debian.org>,"bash-completion, dbus-daemon, debhelper-compat (= 13), dh-apparmor, dh-sequence-cruft, dh-sequence-python3, imagemagick, inkscape (>= 1.0~), meson (>= 0.56.0), pyflakes3, python3:any, python3-debian, python3-yaml:any, xmlstarlet, zip",pool/contrib/g/game-data-packager
quake,game-data-packager,743d4feedc49386d4e1b556b6898cda8,e74dcaffdfec84dc2883a6cb66a7d1252dbee5747f314350e08f11f28d2eb9bc,"game-data-packager, etqw, etqw-server, game-data-packager-runtime, quake, quake-server, quake2, quake2-server, quake3, quake3-server, quake4, quake4-server",73,Debian Games Team <pkg-games-devel@lists.alioth.debian.org>,"bash-completion, dbus-daemon, debhelper-compat (= 13), dh-apparmor, dh-sequence-cruft, dh-sequence-python3, imagemagick, inkscape (>= 1.0~), meson (>= 0.56.0), pyflakes3, python3:any, python3-debian, python3-yaml:any, xmlstarlet, zip",pool/contrib/g/game-data-packager
quake-server,game-data-packager,3501c4e8fedcff969cfbc73095f5ef7e,d51dda9b25b668729cdf866afeb128a7d19e5a28a5dcce7e50fef0a39d15805c,"game-data-packager, etqw, etqw-server, game-data-packager-runtime, quake, quake-server, quake2, quake2-server, quake3, quake3-server, quake4, quake4-server",73,Debian Games Team <pkg-games-devel@lists.alioth.debian.org>,"bash-completion, dbus-daemon, debhelper-compat (= 13), dh-apparmor, dh-sequence-cruft, dh-sequence-python3, imagemagick, inkscape (>= 1.0~), meson (>= 0.56.0), pyflakes3, python3:any, python3-debian, python3-yaml:any, xmlstarlet, zip",pool/contrib/g/game-data-packager
quake2,game-data-packager,8b01dfd99aaf52934001dc6814a62acf,fe928e7ff9f01a1d93165282937b932d2b6d2ff95c273b77b4b92277b1eb6912,"game-data-packager, etqw, etqw-server, game-data-packager-runtime, quake, quake-server, quake2, quake2-server, quake3, quake3-server, quake4, quake4-server",73,Debian Games Team <pkg-games-devel@lists.alioth.debian.org>,"bash-completion, dbus-daemon, debhelper-compat (= 13), dh-apparmor, dh-sequence-cruft, dh-sequence-python3, imagemagick, inkscape (>= 1.0~), meson (>= 0.56.0), pyflakes3, python3:any, python3-debian, python3-yaml:any, xmlstarlet, zip",pool/contrib/g/game-data-packager
quake2-server,game-data-packager,cf116c23b3f39585f8b7468c7f44e781,576f57238eb98cc18bc75509a6f72bfe56c709b05991b2bb0e8387220cdd4bf7,"game-data-packager, etqw, etqw-server, game-data-packager-runtime, quake, quake-server, quake2, quake2-server, quake3, quake3-server, quake4, quake4-server",73,Debian Games Team <pkg-games-devel@lists.alioth.debian.org>,"bash-completion, dbus-daemon, debhelper-compat (= 13), dh-apparmor, dh-sequence-cruft, dh-sequence-python3, imagemagick, inkscape (>= 1.0~), meson (>= 0.56.0), pyflakes3, python3:any, python3-debian, python3-yaml:any, xmlstarlet, zip",pool/contrib/g/game-data-packager
quake3,game-data-packager,3dbabba9397350865a14ddb9bfc40323,3b77765c57537532e0435f5eaf640a87191e26fee0b5c76de73cac034e3be397,"game-data-packager, etqw, etqw-server, game-data-packager-runtime, quake, quake-server, quake2, quake2-server, quake3, quake3-server, quake4, quake4-server",73,Debian Games Team <pkg-games-devel@lists.alioth.debian.org>,"bash-completion, dbus-daemon, debhelper-compat (= 13), dh-apparmor, dh-sequence-cruft, dh-sequence-python3, imagemagick, inkscape (>= 1.0~), meson (>= 0.56.0), pyflakes3, python3:any, python3-debian, python3-yaml:any, xmlstarlet, zip",pool/contrib/g/game-data-packager
quake3-server,game-data-packager,dafd7132c43f02321167ce49cdbe2b09,9242ab75452d7ac2e7171f3cf7a56fdf768566cdbc95125094c9396ca063a896,"game-data-packager, etqw, etqw-server, game-data-packager-runtime, quake, quake-server, quake2, quake2-server, quake3, quake3-server, quake4, quake4-server",73,Debian Games Team <pkg-games-devel@lists.alioth.debian.org>,"bash-completion, dbus-daemon, debhelper-compat (= 13), dh-apparmor, dh-sequence-cruft, dh-sequence-python3, imagemagick, inkscape (>= 1.0~), meson (>= 0.56.0), pyflakes3, python3:any, python3-debian, python3-yaml:any, xmlstarlet, zip",pool/contrib/g/game-data-packager
gemrb-baldurs-gate-2-data,gemrb,c6d0809d78d46b891f7dd73341ec469c,9680d8f6dbc5288f21eab0da0b3983ba7a623cf176ad7ab0a8814b9ca53f7f43,"gemrb, libgemrb, gemrb-doc, gemrb-data, gemrb-baldurs-gate-data, gemrb-baldurs-gate, gemrb-baldurs-gate-2-data, gemrb-baldurs-gate-2, gemrb-icewind-dale-data, gemrb-icewind-dale, gemrb-icewind-dale-2-data, gemrb-icewind-dale-2, gemrb-planescape-torment-data, gemrb-planescape-torment",0.9.0+dfsg-1,Beren Minor <beren.minor+debian@gmail.com>,"debhelper-compat (= 13), cmake, python3-dev, libsdl2-dev, libsdl2-mixer-dev, libz-dev, libopenal-dev, libpng-dev, libogg-dev, libvorbis-dev, libvlc-dev, libfreetype6-dev, dh-python",pool/contrib/g/gemrb
gemrb-baldurs-gate-data,gemrb,befbe0f63346888f2e5e3269a625cfaf,8491049b6b22d471456c9eece98d6ede187d954ef7f5210db89df6ee117d6672,"gemrb, libgemrb, gemrb-doc, gemrb-data, gemrb-baldurs-gate-data, gemrb-baldurs-gate, gemrb-baldurs-gate-2-data, gemrb-baldurs-gate-2, gemrb-icewind-dale-data, gemrb-icewind-dale, gemrb-icewind-dale-2-data, gemrb-icewind-dale-2, gemrb-planescape-torment-data, gemrb-planescape-torment",0.9.0+dfsg-1,Beren Minor <beren.minor+debian@gmail.com>,"debhelper-compat (= 13), cmake, python3-dev, libsdl2-dev, libsdl2-mixer-dev, libz-dev, libopenal-dev, libpng-dev, libogg-dev, libvorbis-dev, libvlc-dev, libfreetype6-dev, dh-python",pool/contrib/g/gemrb
gemrb-data,gemrb,3409a523125ac777a236507b712531be,704d28b19304988c0de76a0a713e100c3d04d8777aee8d01c9c2a2b4570bacb7,"gemrb, libgemrb, gemrb-doc, gemrb-data, gemrb-baldurs-gate-data, gemrb-baldurs-gate, gemrb-baldurs-gate-2-data, gemrb-baldurs-gate-2, gemrb-icewind-dale-data, gemrb-icewind-dale, gemrb-icewind-dale-2-data, gemrb-icewind-dale-2, gemrb-planescape-torment-data, gemrb-planescape-torment",0.9.0+dfsg-1,Beren Minor <beren.minor+debian@gmail.com>,"debhelper-compat (= 13), cmake, python3-dev, libsdl2-dev, libsdl2-mixer-dev, libz-dev, libopenal-dev, libpng-dev, libogg-dev, libvorbis-dev, libvlc-dev, libfreetype6-dev, dh-python",pool/contrib/g/gemrb
gemrb-doc,gemrb,9e3f2b6aaed3804c8ecc25c6e450bf01,173440cf527a5895301b99e8b3680a3c10b0874539e14a8d772f7a2fc1b3d13c,"gemrb, libgemrb, gemrb-doc, gemrb-data, gemrb-baldurs-gate-data, gemrb-baldurs-gate, gemrb-baldurs-gate-2-data, gemrb-baldurs-gate-2, gemrb-icewind-dale-data, gemrb-icewind-dale, gemrb-icewind-dale-2-data, gemrb-icewind-dale-2, gemrb-planescape-torment-data, gemrb-planescape-torment",0.9.0+dfsg-1,Beren Minor <beren.minor+debian@gmail.com>,"debhelper-compat (= 13), cmake, python3-dev, libsdl2-dev, libsdl2-mixer-dev, libz-dev, libopenal-dev, libpng-dev, libogg-dev, libvorbis-dev, libvlc-dev, libfreetype6-dev, dh-python",pool/contrib/g/gemrb
